Country Name,Country Code,Indicator Name,Indicator Code,1960,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Moldova,MDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,3182.804057,3056.714808,3172.351126,2999.390521,2943.826987,3080.231768,3349.236595,3675.248805,4006.402742,4429.330258,4922.807008,5333.092185,5654.624712,6224.434917,5895.908685,6396.790409,6913.602264,7363.16231,8381.671813,8827.054129,9254.848633,10610.47782,11651.31745,12658.50376,13576.29474,12941.89278,15637.24037
Montenegro,MNE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,6001.791312,6770.287919,7100.324632,7340.860996,7842.302151,8313.652234,10458.7261,12459.31796,13816.57331,13022.14537,13636.01508,14472.48482,13863.8907,14870.15294,15371.14255,16332.84831,18199.38303,19682.2652,21513.29975,23072.58274,19989.65367,22795.40727
Netherlands,NLD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,19164.80342,20136.83077,20789.33632,21400.09421,22369.00399,23433.65269,24508.78975,26017.05322,27708.97207,29268.5361,31870.83351,33180.18292,34447.20532,34149.61923,35809.78566,37625.56171,41013.78664,43939.14534,46420.20168,44556.92115,45043.90423,46599.02103,47272.10302,49241.51784,49233.2154,50288.59139,52288.41508,55088.6338,57826.6285,59004.32497,59266.90858,63766.88711
North Macedonia,MKD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5528.226186,5370.346702,5144.110644,4884.091888,4906.39879,4949.579927,5084.08924,5226.718197,5448.073869,5724.47004,6151.796866,6049.915617,6395.226348,6595.45197,7172.004987,7848.882967,8690.236926,9350.907779,10521.89673,11009.99159,11361.00939,11689.90577,11915.68987,12727.33641,13434.84324,13888.29539,15137.99583,15706.44417,16796.27023,17546.41692,16719.6901,17918.07707
Norway,NOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,18451.15237,19570.06452,20612.19002,21572.36571,23015.46833,24347.8175,26818.30357,28608.65413,28186.39132,30555.04906,36936.48651,37764.30844,37980.35398,38593.70835,42549.94387,47797.52995,54160.4818,55930.53347,61716.59971,55364.21942,57919.65195,62076.74066,65354.77925,66961.2531,65892.68928,60368.92087,58939.91261,64050.75617,69808.32941,66799.16472,62644.84574,79201.23025
Poland,POL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,6181.891777,5921.537014,6189.794071,6556.684535,7036.272736,7681.196891,8275.801595,8936.625782,9487.754278,10040.89838,10672.12109,11119.71515,11804.26626,12288.46287,13353.6821,13896.79338,15152.33608,16802.83391,18303.35292,19239.92847,21072.52658,22827.69814,23745.6978,24567.50617,25475.50469,26862.05252,28322.10698,30064.50348,31953.03503,33797.76736,34286.98508,37502.55987
Portugal,PRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,11773.62199,12732.77788,13175.0759,13195.6234,13570.88323,14398.92008,14917.56036,15788.69698,16687.06971,17718.15157,18876.65948,19524.88674,20356.6473,20851.08854,21477.82618,22725.27749,24682.71885,25733.12709,26665.8373,26458.91104,27261.95345,26769.51189,26438.0163,27936.03966,28742.44038,29660.89607,31607.75424,33044.71674,34928.54353,36172.07254,34177.08571,35888.16538
Romania,ROU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5277.482124,4792.59502,4512.647211,4696.626691,4992.784891,5426.19767,5743.961975,5564.09451,5544.308572,5596.472489,5848.084955,6518.675292,7162.365778,7559.975349,8990.32565,9602.104759,11556.62425,13700.09357,16782.22907,16631.85819,16976.25909,17896.27586,18869.56897,19781.92571,20657.67329,21605.83562,24271.47002,27141.90093,29342.04115,31867.26319,32202.20866,35413.99058
Russian Federation,RUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,8027.75293,7857.815918,6862.383789,6419.509277,5734.410156,5613.280762,5517.858887,5699.947754,5465.056152,5914.326172,6825.391602,7361.36377,8037.474609,9254.537109,10226.7666,11822.34668,14912.23438,16648.24219,20163.60938,19389.94141,20490.12695,22798.67383,24303.47266,26073.875,25761.64844,24085.32422,24128.08594,25926.44336,28821.26172,30067.74023,29916.01367,32803.35547
Serbia,SRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,4825.753526,5227.119904,5716.471465,5996.641942,5528.025339,6019.114926,6481.992612,7224.61832,7645.785777,8487.604645,9181.688301,10209.18352,11236.22508,12632.07784,12533.96547,12798.27213,13746.92502,13933.84462,14629.0068,14659.57951,14928.46704,15858.09627,16611.02374,17717.9058,18822.36077,19093.95531,21432.41034
Slovak Republic,SVK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,7172.285168,7467.047784,8067.913495,8692.957338,9404.878515,10086.13476,10623.00698,10714.17713,11376.55592,12385.98843,13312.20331,14181.12184,15226.33843,16639.39412,18914.02796,21222.38033,23725.85776,23080.58654,25302.23272,26145.88938,26888.3481,27915.43321,28929.52636,29964.88861,29645.74189,30061.55147,31214.59257,31966.55484,31356.45828,33010.29075
Slovenia,SVN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,13620.49683,14304.35572,15282.77768,16056.05073,17083.25172,18001.22916,18948.20389,20241.52568,21112.37522,22760.94697,23852.64304,25720.44955,27570.14519,29604.29147,27537.75846,27826.87234,28931.38332,29042.82027,29973.69935,30870.02367,31628.24718,33936.04406,36507.55304,38961.54435,40670.87787,39725.25919,43624.67321
Spain,ESP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,13678.2757,14464.00245,14858.14505,14975.57233,15585.50745,16279.09657,16975.12105,17912.75358,19096.61489,19954.29022,21584.2512,22949.18185,24371.59885,25046.1107,26143.63217,27606.93405,30720.22221,32469.53045,33263.2724,32092.36482,31682.7131,31867.97324,31720.12,32434.0032,33525.74063,34903.12748,37286.21343,39528.92539,40696.38768,41695.14695,37756.351,40775.27862
Sweden,SWE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,20414.11667,20720.8957,20825.06038,20757.40546,21877.8025,23094.05196,23927.51439,24805.82457,25887.83818,27471.55827,29618.27926,29927.59927,30926.5056,31814.86351,33858.61143,34244.46502,37730.16375,40905.14587,42158.2957,40279.4616,42223.91967,44608.58026,45432.43197,46312.39238,47184.66913,49103.13343,50430.25282,51947.95425,53521.63064,54598.78035,55064.88501,59323.96461
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,28470.35894,28801.3749,29121.99213,29504.79707,30275.19147,30851.80041,31534.09607,32771.05937,33905.12738,34818.07604,36772.69462,37896.69696,38814.37174,38840.88188,40336.40896,41749.21645,46502.92827,51208.09883,54096.80786,53354.00464,54858.44808,57987.50203,59933.59868,62225.08727,64103.01045,66020.20434,68105.15498,69103.57026,71660.20684,72033.92944,71745.2994,77324.08811
Ukraine,UKR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,7613.644531,7171.255371,6589.552734,5784.656738,4577.827148,4136.163574,3824.486572,3808.273193,3811.875977,3894.403809,4260.276855,4789.681641,5172.960449,5824.124512,6736.79541,7214.111816,8054.040039,9004.879883,9434.435547,8093.555664,8559.929688,9246.769531,9705.358398,11111.05176,10743.58594,10164.32715,11148.19629,11860.56055,12631.65723,13345.38281,13087.30957,14219.79004
United Kingdom,GBR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,17084.5988,17413.59266,17833.57381,18666.0429,19747.53029,20617.43284,21968.92882,23049.61272,23683.5147,24463.49633,26472.19371,27807.16932,29062.12387,30355.28338,32058.41549,32747.35401,34845.59177,35695.29849,36863.58476,35212.42048,36576.58654,37379.29097,38514.02617,40218.74726,41580.60249,42912.87509,44635.29956,46372.3866,47573.48802,49041.46355,46526.91187,49675.30467
